source,phone,review,rating
att.com,galaxy,"I absolutely love this phone. It's an upgrade from the Samsung Galaxy S6. The camera takes beautiful photos. I haven't gotten a chance to use the slow motion on the camera yet though. I would have given it 5 stars, but my phone keeps dinging (notifications) even though I have gone through all of the systems and turned off all notifications except text messages. The other thing that bugs me is, that they have changed the charging port size, and only included a USB adapter and 1 wall charger. So now none of my car chargers (or other wall chargers) will fit, so if I go anywhere I have to remember to also make sure to grab my only cord. It would've been much better if Samsung would've included an adapter, (not just a USB adapter). I also love the smaller size S9 as opposed to the S9+, as I have arthritic hands. (Is approx the same width as the S6, but a little longer (top to bottom) than the S6.",4
att.com,galaxy,This phone is great except that it doesn't have the mobile data quick setting like come on now this phone has so many great features and yet it doesn't have a easy and fast way to turn off my data ...apple has that why can't we,3
att.com,galaxy,"The Samsung S9 is a good phone. I like that even with a life proof cover it still will fit in my Carhartt thigh side pocket. One problem that I do have is the edge screen is difficult to click on somethings with the cover on it. But as expensive as the phone is I would not use it with out a cover. I seem to get better battery time with the S9 than I did with my old S7. Over all I like the phone but some of the changes, such as Bixby, is a waste and some of the apps I was using with my S7 don't work as well or don't work with the new OS. The cost and some of the software changes make it a negative. But the battery life is good and over all it is a big upgrade from a S7 to a S9.",4
att.com,galaxy,"To start w the Pros: ** great battery life ** camera decent (nothing extra special) ** small compact.. great for those who dont like the huge phones
Cons: ** keyboard is not as user friendly (only one keyboard option) ** Bixby voice recognition is worse than Googles, so usually have to type everything in. ** If you use the messages app.. u will have to share the same notification tone as all other apps (the option in messages to change the notification tone doesnt work) ** Theres no way to have a different message tone per contact (it has been taken away) ** In order to get the 2 options above u have to use a 3rd party app like Textra. ** The Caller ID Name is not available on the S9.",3
att.com,galaxy,"The phone performs faster than my galaxy s4 was performing. I am very disappointed about the little features that I liked on my previous phone, though. The messaging app does not allow for customization of colors, background, or notification sounds. I was worried that this phone would be too big for my hand like the galaxy s3 was, but it is slim enough that I can hold it with my small hands. I do not like the Bixby and as soon as I figure out how to turn it off, I will. I do like the pink Icon package that I was able to download. All in all, I am glad I have the new phone. Just wish I could customize my little message app.",4
att.com,galaxy,"Very pretty. All the coolest stuff. But I’m ticked off. The phone is silly slippery. I avoided using it until my case arrived. I dropped it so many times, I lost count. Furthermore, my fingers slid across the screen and I ended up tapping the wrong things constantly.
The fingerprint used to be on the front, and it was really convenient — worked well with the thumb naturally there. Now it’s on the back near the camera lens. Without the case, it’s a joke. Don’t even bother trying to use the phone without a case. It’s a nightmare.
Sadly, I will not return this phone, even though I’m really ticked off. Why? Simple....because it’s the best darn phone out there, with the very best features, and it works seamlessly. Full stop.",4
att.com,galaxy,My phone of choice was the iPhone. I've had just about every model. Until apple decided to slow my SE down (it would reboot 3 times daily) I never thought about changing. I'm extremely glad I did. I like my Galaxy S9. Google music converted all my iTunes songs so I didn't lose a thing. I'm still getting used to the phone but it's a fun journey. I can honestly say that I won't be going back to the iPhone.,5
att.com,galaxy,"The S9 is nice and sleek, but I'm unimpressed with some of the functions that are now gone. My previous phone was a Galaxy S5, so I don't know when they changed the charger, and removed some of the convenient texting functions, such as a box to check or uncheck when sending a group text so you could opt out of keeping it a group text but still send the message to everyone at once. I find there are more clicks you have to go through to accomplish small tasks such as setting alarms, and changing volume settings than previously. The are functions now missing or more complicated, such as adding a number to contacts from texts. I'm not a fan. If you want your phone to function more like an IPhone, you'll love the S9, but if you're a Galaxy fan, be prepared to do a lot more searching for things that were much more convenient previously.",3
att.com,galaxy,"I replaced an s6 with this phone because it was low on memory (only 16 mg) but this S9 does not do all that the old phone would do. I does not mirror image with my samsung smart tv. It does not have a remote for the Samsung TV. But more importantly, it drops the network and so I do not get calls or texts and cannot get calls or texts when this happens. I only find out this has happened when I try to call and it will not make a call or text. Then I worry, what did I miss. I use this phone for work. Sometimes It will start working again if I restart it but sometimes I have to take it in for service and get a new sim card and have the VPN settings reset. Last time I had them teach me to redo the settings. I would not get this expensive phone again.",1
att.com,galaxy,"I had a Samsung S5 and the screen started doing weird things so time for a new phone. The Galaxy S9 was just coming out and decided to pre order it. Screen is much clearer than what I was use to and had to get use to the wrap around screen. Seems to make it more touchy but a case solved that problem. Phone calls are much clearer and easier to understand and hear callers on speaker phone. The only negative I can see so far is the ability to send pictures by text or email. My other phone was super easy to do and easy to remember but it seems to take a little thought to do the new one. Overall I’m pleased with the phone and hope that I can get as many years out of this one, like my last phone. My husband always says his iPhone is far superior but I get better reception, more bars and better pictures with my phone and we’re with the same carrier. I’m staying with Samsung,",4
att.com,galaxy,"Had to upgrade from my S6,which I loved. This bigger, much nicer screen. The visual scan security protocol is interesting, doesn't work in the dark but can default to regular sign-in.Bought case & face cover as this rounded screenisn't as protected as the S6. So far, very pleased.",5
att.com,galaxy,I waited a long time to update from my windows phone. Didn't realize how slow or how much the windows phone was not working correctly. This phone does everything better and is very easy to use. Even the same apps that were on My old phone work better on this phone.,5
att.com,galaxy,"The phones pictures are amazing they come out so crisp all my friends and family love them. The volume on this thing is outstanding, I can here my music from a room away. I mostly love the fact that I can unlock my phone with a single touch and use Samsung pay with a single swipe up.
The only thing I am starting to dislike is that I have to type harder for the phone to sense it. I'm still getting used to it so my spelling is terrible most of the time.",5
att.com,galaxy,I'm not really crazy about the Galaxy S9. I hate that they took a lot of the message settings and other settings away. I can't even choose different personal notification sounds for my contacts. I hope the next galaxy phone will bring those settings back.,3
att.com,galaxy,"I absolutely love this phone and everything about it. The camera is incredibl, best I've ever seen. I was really nervous when I made the switch to droid,and I have to say I haven't been this happy with my phone in years! Sure a little more complex than the iPhone, but once you get the hang of it its smooth sailing from there!",5
