source,phone,review,rating
att.com,iphone,"I’ve been with Apple since day 1 of 2007 and the X is by far the best phone to date for sure!! No matter what people are saying about the 7 plus being bigger it’s def not,just read the specs that should be enough right there and all the great new features that come with this phone are fantastic if your due for an upgrade get the X you will not be disappointed,don’t be fooled by the bunk reviews the X is by far the best Phone on the market today!!",5
att.com,iphone,"I went to this from a 6 and no matter what, transfer from one phone to another is never seamless. The biggest thing is no more finger prints! So everything you get into with a fingerprint, you need to remember the password to. I locked myself out of 3 of my accounts. That was a pain, and not every app does facial recognition so be prepared to change passwords, which isn’t a bad thing really. Getting used to swiping everything is easy once you know how and which way to swipe. No home button. But it is easy to forget once you get used to swiping. Battery lasts all day. Big plus. Fast. Bigger plus. I am enjoying getting to know the X.",5
att.com,iphone,"Upgraded from a 3.5 year old iPhone 6. The best thing about this phone is that its overall size is barely larger than my old 6 yet the screen is about 95% the size of my wife's 8+. Larger screen, small package. Face ID is nearly instantaneous. I thought it was a gimmick at first but now that I'm used to it, I don't even think about it. Just pick the phone up, swipe up, and I'm in. I have a 7 for work and when I pick it up, I realize how much I love not having to ever fiddle with the home button--for anything, ever with the X. Screen is amazing. Camera is amazing. I will likely be with this thing for another 3.5 years and I'm fine with that.",5
att.com,iphone,I love how fast this version of iPhone is! But the lack of TouchID makes me realize how much I missed that feature. I may have to get a vertical holder for my car in order to be truly handsfree because the FaceID does not read your face when iPhone is in landscape mode.,4
att.com,iphone,"Surfing the internet is really truly fast almost like using mynhome pc. The text to speech is very accurate. I travel theu the US and the screen does not freeze like people wore claiming. Which was why I waited to upgrade and i travel to places that are -25 degrees. The facial recognition makes it easier to open my phone and you can incorporate it into most apps for ease of use. The camera takes awesome pics and its an all around pretty phone. Big screen enough to watch movies but also compact enough to text with one hand. I Love this phone and it takes care of my personal, financial and work needs. Plus large capacity storage for the size.",5
att.com,iphone,"I was SUPER excite about getting this phone. Pre-ordered it and waited anxiously for it to arrive. When it came and I was able to open it, the size surprised me. It was so small compared to my 7+. After having this phone for about 2 weeks now it leaves a lot to be desired. Most apps don't take up the full screen, leaving a back bar of empty, unused space at the top and bottom, which in turn makes the screen smaller then my 7+. The camera isn't thaatt much better than my 7+. Its thicker and heavier. It seems to be that for what it cost you get a device that leaves a lot to desired. It made me start looking at the Note 8.........",3
att.com,iphone,More hype than substance. While the facial recognition system is nice performance is lacking. Phone connection is not clear. Have many complaints that I can not be heard when calling others compared to my old iPhone 7plus. Despite the hype screen size is underwhelming. Improvement on the top & bottom of screen is ineffective when watching video. Width significantly smaller than iPhone 7+ that impacts reading. (See Photo). Best feature is the camera that allows greater control. Multiple consumer reviews state it is the most breakable phone ever. Finally uying experience was dreadful. Miss days when customer service personal instead of dropped internet connections. Plans that promote free upgrades are worthless when new phones work less effectively than ones they replace.,2
att.com,iphone,"When I saw the first ad for the iPhone X I was like I want that phone. Now that I have had it since the release date I love it but at first I was like oh my what have I done.but I’m happy I stayed with the x. People complain apps are not setup to take full advantage of the x , sadly they knew this going in. Yeah it’s not as big as my 7 plus but you know over all it seems to be a way better phone. The call clarity is amazing. The battery life last a full 2 days for me. The screen is breath taking. And people keep saying the phone is fragile I don’t see it I have dropped mine from waist height about 6 times not even a scratch or crack",5
att.com,iphone,"I’ve been a 10 year Samsung user. I fell in love with this iPhone after a few minutes. I actually just upgraded to a note 8 in November but liked this phone so much that I decided to add a line and get this one. I don’t even touch my note now. Although, it takes me about an hour longer to change my iPhone 10 than It ever did to charge my note. Get the fat charging cube and it will shave some time off of having to wait for a full charge. It’s got a few bugs with compatibility issues, like with he Fitbit, and my gotomeeting call in audio, but other than that I love it. The way to close out of apps is awkward, as well so if they could change that it would be perfect.",5
att.com,iphone,"I can't understand the negative reviews. I have owned every I Phone since their inception. The I Phone X is hands down the best to date. Maneuvering the screen is slightly different but you adjust quickly. The home button is actually an improvement in my opinion. Facial recognition took less then 2 minutes to set up. Additionally facial recognition is quicker and more efficient then the old thumb print on the home button.
Battery life, so far, is outstanding. My other I phones I was charging every 12 hours or so based on my usage. My I Phone X is being charged about every 24 hours. A major improvement, although my results may not be typical. Buy it I don't think that you will have any regrets.",5
att.com,iphone,"Within an hour of getting my phone and setting it up I saw it. There's a 8mm semi-circular crack in my ""gorilla glass"" screen. I didn't notice it at first until I took the phone outside to play with the new camera (which has so many lens flares that are another issue entirely). With the screen illuminated, it's barely noticeable. A phone Of this level should have higher quality standards. I went to the AT&T store and they said they couldn't help me, to take it back to Apple. This is unacceptable in a new product.",1
att.com,iphone,"Just picked up my x on release date i was worried that with a home button i would not like it it. I was wrong it makes life easier especially the face recognition which i was skeptical at first. I really like the touch on my 7+ but face reconition is much faster. Overall this is a big improvement over my 7+ which i thought i was not going to switch but i am glad i did. If you want a smaller phone that will fit better in your pocket with a large screen, faster processor, better camera, faster access to menu then you wont go wrong with the X. Thank you Apple great IPhone",5
att.com,iphone,Apple has done it again. 4K 60fps 4K 24fps no one has this not even super expensive dslr’s. Screen is the best in the industry colors are spot on. I love how it fits perfect in my hand. It is the perfect balance of size and screen realestste. It doesn’t feel overly big tlike the 7 plus did. This phone is a straight monster in performance destroying everything in the market. Face ID is spot on and the gestures are super easy to learn people just don’t like change and complain. Is it worth the money? Yes it is the camera alone is worth the price having all of the shooting options right in your pocket. Well done Apple.,5
