source,phone,review,rating
influenster,galaxy,"I use the Galaxy S9 for my work number I currently work for Sprint, so I feel like I'm pretty in touch when it comes to all things cellular. I havent had an trouble with the S9 and I went ahead and bought it outright once I decided I'd be keeping it for a while. The camera could be a bit better (I have the Note 9 too and that camera is fantastic) but its still far better than others currently on the market. The features and customization that Galaxy offers is one of the reasons I love this line so much. I also had an S8 and S8+  and I feel like they top themselves every release. Was very happy to see the fingerprint reader was moved, along with the addition of purple as a color choice. This has been a good, reliable phone so far and I'm very pleased with it.",5
influenster,galaxy,I had a Samsung Galaxy S6 I loved it into that having to switch to an LG for a while and was just able to get a Samsung Galaxy S9 love all the new features it took me a little while to figure out how to do everything on it and not push the wrong button I was nervous about the beveled screen but it's already fail didn't break so So glad I had it in a case. I definitely recommend this to anyone who already loves the Samsung Galaxy phones and even those that haven't  Tried them yet. In has a very easy to use interface nothing to overly complicated just a ton of features Bixby is super easy to use and controls just almost everything on the phone by voice command. The only thing I don't like about it is that instead of having a Samsung music it uses play music to get to the music files on your phone which makes it a little more difficult,5
influenster,galaxy,I currently have the S10e the clarity on this phone is astonishing. I've had it for less than a week and I'm in love with it. Not a disappointing purchase at all and because I bought it through sprint I got free Hulu with it and only pay about $11 a month with a contract free plan.,5
influenster,galaxy,I adore this phone! I got the rose gold one and it so so aesthetically pleasing. The camera is also amazing and as I am a photographer and vlogger that is very important to me. The battery life is also great and the speed is excellent.,4
influenster,galaxy,This phone is amazing. I have not had a single problem with it. I love how great quality the camera has. I enjoy the quality of videos and music. I love the speakers and the battery life. The built in edge screen is everything.,5
influenster,galaxy,"I just got this phone for Valentines/ my birthday and I really like it. It is perfect for my hand. My last phone was huge galaxy edge 6 plus and it really hurt my hand trying to use it. This is more confy and ofcourse everything you love about samsung. Its glass all around so get a shock proof case and screen protector. No home button. All the cool new features. The finger print is easy index in the back. Face recognition, beautiful camera. Extra slow mow and gourgous screen. Ohhh yess way better charger really fast and HEADPHONE JACK 👏👏😂 ofcourse got it just in time for a new one to launch S10 but its ok Im loving it. Oh 2 speakers so sounds great. My last galaxy was really loud too.  Samsung Galaxy S9",5
influenster,galaxy,Battery did not hold a charge i play no games. It lags. Never dropped no scratches. Really expensive to get it checked out by Verizon. It did not meet my expectations that the s8 did. Yes it is reliable. Room for improvement is less curved edges. Samsung Galaxy S9,3
influenster,galaxy,"I actually have an s9+ but I couldn't fund it to review, but they are pretty close in pretty much everything. I upgraded to this phone from an LG stylo 4, and I honestly dont have any real complaints about the phone. I've not experienced any slowness, or problems that are notable. The only thing that really bothers me is the Bixby button. I dont use it, and it really gets on my nerves because you cannot completely disable it. So I'm always hitting the button and it as virtually useless... unless you use those things. Other than that, amazing phone. The edge feature is very nice. Screen resolution is amazing.",4
influenster,galaxy,I absolutely love my  Samsung Galaxy S9. I have my life and everything I need in the palm of my hands thanks to  Samsung.  I love their quality of products and how they continue to amaze me with the new products and technology. This phone has a near professional camera quality & has so many different options to help navigate everyday life,5
influenster,galaxy,"I've just bought my S9 plus and I LOOVE IT! I was always a Samsung / Android buyer and recently upgraded my phone. It is a bit different (in a good way). The camera IS AMAZING, we've compared it to Iphone camera and it took better pictures which was a bit shocking. I still have not had time to explore the rest of my phone but it had me with the camera!",5
