source,phone,review,rating
influenster,iphone,"Pros: This is easily the most outstanding gadget I have ever owned. I was dreading losing the home button and having a smaller phone in my hand but my wifeâ€™s 6s Plus now seems like it was from a different era. The Face ID, 3D Touch, Swipe System and Touch to Open all work like a dream, meaning I can whizz around the phone with minimal thought and effort. The size is perfect, after loving the larger Plus series I now realise the X is better balanced for me without reverting to a smaller screen. I love being able to swipe between open apps without having to manoeuvre my thumb up and down the screen, meaning, with my poor memory, if I wanted to write down something from, say, the calculator into notes I can do so easily with a flick of my thumb. The wireless charging is outstanding, so much so, Iâ€™ve bought chargers for my bedroom and my lounge and hope I never have to go back to plugging the cable in again. The screen is absolutely stunning. Watching videos and looking at photographs is a pleasure and, in all honesty, makes me want to watch more which Iâ€™ve never bothered with before on a phone. The camera also seems much better but Iâ€™ve not had chance to experiment yet as itâ€™s something I need to learn more about. Overall, I was worried about taking a punt on the X but I know now that if Iâ€™d not upgraded (as was my plan) or gone with the 8 Plus, Iâ€™d be pretty gutted right now. Apple has managed to reignite my love of the smart phone again with the most perfect bit of kit I could have imagined. Thank you!Cons: The cost is absolutely crippling for people like me. Luckily I got a fair forces discount (20%) on the contract price which brought it into my range, though still massively top end. The only other problem I have is the reachability function. Itâ€™s something I use often but struggle to get right on the X, especially when thereâ€™s something to activate right where my thumb will be when I attempt to swipe down. I dare say, without my wireless charger next to my chair, the battery could be an issue as Iâ€™m a heavy user of the phone, so I canâ€™t say either way with certainty at the moment.",5
influenster,iphone,"This was a very nice upgrade from my iPhone 7. I do miss the home button at times but itâ€™s been a week and Iâ€™ve gotten used this phone. I love how it scans your face to unlock your phone, thatâ€™s actually pretty dope! The camera quality is so much better than my old phone which is nice since Iâ€™m big on photography. I gave it a 4 starts because for some odd reason the camera in my Snapchat is extremely zoomed in and I canâ€™t fix it. I read online they are working on an upgrade for Snapchat so that itâ€™s not so zoomed in. Other than that I love this phone. #newphonewhodis",4
influenster,iphone,"This is technically for the iPhone XR, since I canâ€™t seem to create a review for that specific product. I LOVE the iPhone XR. Itâ€™s a great compromise between quality and value (I did not want a phone that retailed for 1k+). Performance is fantastic. Excellent battery life. Every once in a great while, the touch screen is slightly non-responsive, but it corrects itself pretty quickly when that happens. The camera is excellent, though not as amazing as everyone makes it out to be. Definitely recommend this phone.",5
influenster,iphone,"I was skeptical about getting this new phone. I love Apple. I love the iPhone. I just didnâ€™t know about upgrading to a new version of it.ðŸ˜‚ I am stuck in my ways. But, I love this phone. It took a bit to get used to. Not having the home button and the new way of screenshooting. Itâ€™s actually a good change. It was worth it. Not bigger that the iPhone 6 really. Just there is more screen room so it seems way bigger. I am happy I took the step. I would recommend it.",5
influenster,iphone,I have the iPhone XS Max and I absolutely love it. Itâ€™s expensive very but I think itâ€™s worth the price esp for the camera and I take a lot of photos. This phone absolutely meets every expectation I expected of it. I would recommend an apple phone to anyone or any apple device I have never had any problems with apple and I have had every apple phone since the 3GS. Love love love apple!,5
influenster,iphone,"I love my iphone X, its sleek, stylish, great display(OLED), always fast. I recommend this over the Xs since its only $900 if you can still find them at non apple retailers since Apple officially discontinued this model due to the fact that they want to sell the Xs'.",5
influenster,iphone,"I absolutely love this phone. I love that it takes love pictures so if someone or something suddenly moves, you can go back in the moment of taking the picture to chose where the person or thing was in the picture. I have dropped my phone in the toilet (I know yuck) while doing my makeup and got it out and have had absolutely no problems with it.",5
influenster,iphone,"Its great I love it its so different,special and stunning its really cool,especially the face locksrceen even though its little expensive it deserves every buck i put in it totally recommended and one of the best features is the 3d talking people really cool really special I would totally recommend it to others",5
influenster,iphone,"I like my phone, it is fast and I like the screen on it. However, I think that it is too expensive for what it does. I honestly just really like the face recognition because you don't need to keep typing in your password but overall I think that's what I paid for. The camera could be better and so can the resolution.",4
influenster,iphone,I love my iPhone X. Granted it is not much different than the 9 but it does have a few perks to it. I like the sleep look of the phone and I love IOS!! Itâ€™s easy to use and the sleek design is very appealing. I have been using the iPhone since the very first one. Iâ€™m a dedicated iPhone fan!!,5
