phone,rating,review,source
galaxy,5,The Samsung Galaxy s9 is arguably the most beautiful phone ever created. Samsung Galaxy S line of phones are world famous for their design and build quality. Holding this phone in your hand is like picking up a device from the future. Battery life is excellent and Samsung's UI and operating system software is getting better with every update. Now that the s10 is out the s9 is getting cheaper.,Productreview.com.au
galaxy,5,"great  phone smart features easy to use ,, , plenty of gadgets.. good  phone  camera excellent ..easy to use..light weight..easy load apps..easy to use..easy to  read numbers.. nice colours..will allways stick with a samsung",Productreview.com.au
galaxy,4,I really liked the phone. It has good camera which is the best feature and it was a good change after using iphone for about a decade. Really recommend it.,Productreview.com.au
galaxy,3,"First of all the camera quality does not disappoint, as are all samsung cameras it is excellent on the S9. I have found the battery doesn't last very long, I have to charge my phone every night, the button below the volume keys for Bixby is a tad annoying or just may take longer to get used to. Overall I have found the s9 To be just as good as my s7 Edge and my rather cheap OPPO.",Productreview.com.au
galaxy,4,"As a flagship phone goes, everything is pretty standard. Speed is fast, touch is sensitive, interface is intuitive.I take a lot of photos and while there is no ""portrait mode"", the ""selective focus"" does a good job of creating the bokeh effect. Where the S9 really stands out is the low light photography. I can take sharp photos with accurate white balance in dimly lit restaurants using the auto settings (attached photo taken at night and in the rain). The biggest downside is that even on a normal workday where I don't make extensive use of my phone, the battery only lasts one day on optimised mode.",Productreview.com.au
galaxy,2,"Had Samsung S9 for just over 1 month, battery life barely last 2 days on medium power saving. My Samsung S7 edge had better battery life, I have had an iPhone 7 (work phone) for 18 months, use all day during working hours last at least 3 days. How could you go so wrong samsung. Not happy",Productreview.com.au
galaxy,5,"The camera quality is very good with this phone.  There is no need to buy a separate camera.  The phone is easy to use, apps easily install and I have not had an issue at all with this type of phone.",Productreview.com.au
galaxy,5,Fantastic phone. The camera is great and the screen is gorgeous to look at. Samsung software is easy to use but at times feels like there is too much on that is not needed and makes the phone slower.,Productreview.com.au
galaxy,4,"Camera quality is decent, occasionally plays up however most the time works well. Display is fantastic am yet to have a problem with it. Apps and games run smoothly and the built in cache cleaner app is fantastic.",Productreview.com.au
galaxy,5,"My New Samsung S9 is my go to girl . I simply could not get through and juggle life without it . From taking photos and capturing memories to appointments for the kids , makes my life easier",Productreview.com.au
galaxy,3,"Was told the phone is amazing...The camera never focuses, even when using the selective focus setting, it takes the photo but always says could not focus..The battery life is terrible, my husband gets nearly two days from his phone, i get a day if that, i have only been up a hour took it of charge and it is now down to 78% and i havent watched anything just been googling reviews on this phone, and all open apps are closed,Dont like how the screen goes around the sides so brought a phone cover,I wish I stayed with what I had but ohh well",Productreview.com.au
galaxy,4,The camera is amazing on this phone and the close ups are like looking through a microscope. I cannot fault the camera. I do not like the curved screen and find the edge of the screen too easy to accidentally touch and then start other apps. The finger print scanner is not easy to use on the back and I like it on the front better like with the S7. The sounds are good. I can no longer put a different ring tone on for each contact which seems like a step backwards.,Productreview.com.au
galaxy,1,Samsung is crap and cheap phone. I wonder whose stupid idiot made these phone. Always had so many problems whenever I use this crap phone. iPhones are much better and their customer service is best also not like crap Samsung!!!!!,Productreview.com.au
galaxy,5,Excellent for now - If it starts to degrade like my last Android phone I will update my review to suite.Pros:- The camera is awesome.- I like the different methods of unlocking the phone- It is currently quick and runs smoothly but then so did my Nexus 5 when it was new.- It has fantastic battery life. I spent a good couple of hours the other day watching movies on netflix and realised that I hadn't plugged my phone in. It was only- Transferring my data was made really simple by downloading the Samsung app to do it.- Bizarrely in Jan 19 the 256GB version was cheaper than the 64GB version! Not sure what was going on there but check before you buy!Cons:- The curved screen is a bit of a gimmick. I am so blinking worried that I am going to smash it for the first time ever I have put a protective cover on my phone.- The retina scan makes my eye ache if I use it in a dark room. I have disabled that feature.- Samsung get a bit snotty if you try to switch out their phone dialer and SMS app.- The Samsung keyboard interface is not as good as the stock Google one (There is probably a way to switch).,Productreview.com.au
galaxy,4,"I like this phone.Pros:1. Screen resolution2. Nice camera3. Easy to access apps and other thingsCons:1. When you hold the phone the hand touches the screen, sometimes apps started2. Unhappy with the battery life.",Productreview.com.au
galaxy,4,I'm so happy with the camera on this phone compared to my old apple phone. The processing speed and loading apps is also so much faster. Also so much easier to load photos on and off phone compared to apple. I still love apple TV and wish samsung did a similar thing but I got this phone for a better camera and bigger storage and am absolutely impressed with both.,Productreview.com.au
galaxy,5,"MESSAGING AND CALLS. - Very easy to call and to message people. Great controls and a great look. You can even put some contacts on your home screen to all them easily and set some numbers up on speed dial.CAMERA QUALITY - Absolutely amazing. I have a good Canon camera & ""some"" photos I take with my phone, people think I took them with my camera & they become amazed when I tell them, that it's actually my phone. Love using the focus mode and it blurs out the back ground beautifully. Night mode is great when using flash .BATTERY LIFE - Battery has been working fantastic for me!",Productreview.com.au
galaxy,3,Screen goes all the way to the edge. I don't like that. I kept pressing things by accident. Phone is way to slippery so had to spend 30 dollars on a cover. Bixby is a joke. Should have stuck with the s7. I loved that phone. Wonder if I can find another.,Productreview.com.au
galaxy,3,"Phone is generally good. However, touch screen stopped working only a few months after I bought it, and tech support were not very helpful. Was able to backup and keep files and sent away for a replacement through Optus. Not really a fan of the curved edges, feels like it makes it more prone to damage if there isn't a case.",Productreview.com.au
galaxy,4,Always liked samsungs reliabilty.Though this camera has improved on this model. For me personally its teenybopper gadgets and magic makeup and photoshop selfies & gifs etc make me thinking of ditching it for less hype item sometimes when i accidentally bump something. But most phones are full of the same junk these days. I have a cover on mine so i am actually annoyed the flash doesn't work well because it bounces off edge of coverframe.I chose purple model but with cover noone sees it anyway.  I find it too big and awkward to use easily. I liked the older galaxys with menu 'button' instead of annoying screen pressing everything. And preferred the older shape balance for holding & ease of use especially with camera etc.Overall I dont love it. But i dont hate it either.its reliable quality to me. The ability to night time photograph & the storing of 8000 photos recently helped me realise an upside to it ;)I havent had any issues with it.,Productreview.com.au
galaxy,5,"Camera is Good if not best available at the moment. Display quality is really good.Apps are really responsive and loved Finger scanner on back side , it's so responsive than my previous S6.So far Best Android Mobile i have Ever used, Battery is reasonable. Loved Dolby Atmos sound in this mobile it really sounds great.Good for Games , great Mobile if you are Android Lover.",Productreview.com.au
galaxy,5,I updated my old Samsung Galaxy s5 for the s9 and so far I am very happy with it. I am only having to charge it every second day which is much better then the daily charging I was needing on my old mobile. The features are easy enough to use and I really like the rose gold coloured.,Productreview.com.au
galaxy,1,"My phone was protected with a case and screen protector. Only 3 weeks old my phone was sadly dropped at hip height and I'm no BFG but smash! With almost tears in my eyes as I did everything to protect it and it still smashed I went to the repair shop! Here the tears let go! I was told  by the repairman that the screen protectors dont work well due to curved edges and it will cost me $490 to fix. What the actual fries! NOTHING to do with the repair shops, Price set by samsung! Keep this in mind when purchasing this brand! I am now the owner of a (not a one of a kind at that price )cracked S9!",Productreview.com.au
galaxy,5,"Samsung is years ahead of Apple smartphones and is the leading smartphone for technology. I've always been an Apple user, since I switched to Samsung I would never switch back! The camera leaves all other smartphone cameras in the past. Battery lasts all day long and it even come with a stylist!! Boasts the best software and charges wirelessly",Productreview.com.au
galaxy,5,"Camera is great in all conditions, however, natural sunlight is the best lighting. The brightness of the display is outstanding. I will comment that I hate how it takes like 10 seconds to change the power saving mode, and the phone lags out hard in these 10 seconds. I use my phone to take pictures, play games, and watch youtube. Almost all apps run smoothly on my phone.",Productreview.com.au
galaxy,5,I love the phone compared to an iPhone I definatly will keep buying samsung in the future it's so easy to use I've got a good uag case. its been dropped a few times but Hasnt broken yet I also have a cignett glass screen protector. They cost $60 and the case was about $50 from memory so its a lot to outlay in 1 go when you include norton ontop but I am glad I upgraded because I cant fault the phone at all. Love the curved glass screen and with double the warranty than an iPhone I just couldnt say no and I'd highly recommend the samsung s9,Productreview.com.au
galaxy,4,"Runs smooth very nice features, does still heat up on under load or on charge, camera is very clear at night.Love the due bluetooth feature.Wish the lcd was higher quality.Does lag when to many apps are open id say after 5 to 6 apps. Battery life is excellent.",Productreview.com.au
galaxy,4,"Bought this for my husband as he is an Android user.  Decent size screen, camera takes a really clear shot.  Much better than the Samsung 7 model which he upgraded from.  Got the blue back on it which looks really good. No issues so far... Purchased protective casing also.  Good Phone",Productreview.com.au
galaxy,5,"I am going to start this review off by saying I absolutely love this phone, however it does have a few small compromises (but they're by no means deal breakers).I bought this phone in October after owning iPhones for some time, and am happy with the experience so far. The screen is excellent (as has always been the case with Samsung phones), the app selection rivals what is found on iOS and it has IP68 water resistance which is handy if I get caught in the rain on my commute home from work.I was surprised to discover that the Galaxy S9 has a slightly weaker battery than my iPhone X; however this could be remedied by purchasing the Galaxy S9+ or the Note 9 (which is similar to the S9 with a few extra features) which has a larger battery. I often find myself giving the phone a quick top up before I head out for the evening as the battery doesn't usually make it past 6pm. This is mostly painless though as Samsung includes a fast charger in the box (unlike Apple where you have to buy a fast charger separately).The other small issue I have with this phone is how long Samsung takes to release software updates. For example, the S9 is still running Android 8 Oreo even though Android Pie has been out for some months. This has always been an issue with Samsung and will hopefully be fixed with Project Treble (an attempt by Google to push software updates to more phones quicker). I would've liked to see pure Android on this flagship instead of a skinned version.Like I said at the beginning of this review, the things I have mentioned above are not deal breakers, and would certainly not stop me from recommending this phone to anyone.What I like:The camera- pictures are always sharp and detailed, just like they were on my old iPhone XSoftware (kind of)- Samsung has really cleaned up their Android skin over the past yearUSB C- Everything is beginning to adopt USB C which means carrying around fewer cablesWireless charging- very convenient, especially when it's darkIP68 water resistance- Handy when I get caught in the rain on my commute homePowerful CPU and plenty of RAM- If it wasn't for uni, I could potentially get away with using this as my primary computing deviceSomething else worth mentioning is how Samsung bundled a free pair of JBL noise cancelling headphones, worth nearly $400 with the phone- a worthy extra.Overall, I have no hesitation in recommending this phone to those who want the best of all worlds. However if you're a heavy user (someone who uses their phone for 12+ hours per day), I'd recommend the S9+ or the Note 9 as they both have larger batteries.",Productreview.com.au
galaxy,5,"This has been a great phone, the camera is great. Brightness is great, even in bright sun when it's oftentimes difficult to see the screen on other devices. Great memory storage, even for a smaller memory phone, I have hundreds of games, photos, music and apps with still plenty of storage. Never had a problem with apps freezing and glitching. All around great with functions and durability, lightweight and a bonus of coming in a pretty Lilac color!",Productreview.com.au
galaxy,4,Everything all good. Perfect smart phone I ever have had. Good rare camera. Easy to use. I just love it.  I have been using it from more than 6 month after I lost my iphone and I have not got anything to complain yet. Would really recommend all to use it.,Productreview.com.au
galaxy,4,"Everything about this phone is awesome. I've got the plus version. High quality screen with a great screen size. The only problem is the price which I think is a bit high. Otherwise there is no problem with the phone. Fantastic battery life, good speed and very high quality photos.",Productreview.com.au
galaxy,5,"People have been amazed at the quality of the camera, wondering if I used a mobile phone or a more serious camera. The slo-mo function is also excellent, allowing for some really fun videos of the kids jumping into the pool, fighting with foam swords etc. The form factor is good - a bit screen but not too big to fit in your hands. The dedicated Bixby button is slightly annoying at first, and I haven't used the Bixby function, but you can turn it off so it's not really an issue. The fingerprint scanner is sensibly located on the back of the phone. Overall it's a great phone.",Productreview.com.au
galaxy,4,"Love the displayLove the feelLove the runLove the battery timeI've had a Samsung galaxy for the past 6 years... so not much has changed in the standard.Still trying to work out all the camera features. Everyone tells me it can take a great photo.... probably user error... but my photo's are still looking pretty basic compared to what my friend is taking on her iphone. So I guess I need to google and work out how to use the pro feature? My one wish is that it would just take a super high res, high colour photo without me having to do the work?",Productreview.com.au
galaxy,5,"I have been using the S9 now for a few months.  Overall great experience.  Mobile internet, SMS, and calls - all are seamlessly working.  Even if on the phone for a long call, it does not get too warm.  Battery life is also good. Phone camera is also improved.  It could improve on the quality of the earphones but overall its a great day to day phone to use.",Productreview.com.au
galaxy,4,"Love my new Samsung phone! The battery lasts for the whole day. The display is also bright and easy to adjust. I am satisfied with the phone features for the camera. There are selfie option, slow motion and plenty of others.The only downside would be the infinite screen, because sometimes it makes it difficult to put screen saver.",Productreview.com.au
galaxy,5,The camera on this phone is phenomenal. Clear pictures even in low light. Streams movies easily and responds really well. Apps run smoothly on this model and I have had no issues as yet. Love the fingerprint capability on the back of the phone. Don't really like Bixby and it was difficult to get used to the extra button on the left hand side.,Productreview.com.au
galaxy,5,"Everything runs smoothly, travelling around in a caravan so need the blue tick it has to get more phone signals.  Very quick loading apps, easy to use.  Camera is amazing with lots of options for photos and very easy for me so a grandmother to download photos of new grandsons",Productreview.com.au
galaxy,5,"I've owned Samsung Galaxy phones since the S4. There's a reason why they are the most popular, they are simply the best by performance and features in the smallest package.I'll keep buying these phones if they continue to make them this good.The only thing I don't like and it's the same with all smart phones is that the screens break so easily.",Productreview.com.au
galaxy,4,"S9 screen unconventional, double curved screen Yan value, different light colors. The high-pass 845 CPU is very smooth and the program is open to run quickly. 12 million variable aperture dual camera, 1.5 large aperture, night vision illusion the effect is also very good. The shooting worked well. The screen resolution is high, the color is rich, the display effect is good. The battery is enough to charge once a day. The downside is that some apps are temporarily not equipped for Android 8.0, turn on the flash, part of the optimization is not enough, the phone is sometimes hot and hot, such as when charging music. Summary: Samsung S9 looks very nice, well-equipped, very good product.",Productreview.com.au
galaxy,1,"Never been more upset with a phone before coming from using an iPhone after 6 years to this. Battery is horrible, phone dials people itself, screen sometimes plays up, way too expensive to fix and Samsung don't help In any way. Have had it for nearly 2 months now and screen decides to freeze and go yellow on its own.",Productreview.com.au
galaxy,4,"Originally in the use of the note series, s9+ most attracted me is Bixby, really can use the voice of the assistant, a long and narrow shape, good grip, the photo is very wide, the screen display effect is gorgeous; fingerprint lock more than the old generation of machine sensitivity increased several times, arc screen touch than flat screen more mellow, CPU GPU performance has been very good for me.",Productreview.com.au
galaxy,4,"Good performance, the basic battery to rush once a day, not very often play games, only watch news and chat. Standby state power consumption is a bit high, video chat more than 10 minutes the camera will be a bit hot. Playing games is easy, there is no non-smooth phenomenon. Facial iris recognition is sensitive. The camera night view effect is very good. Summary, battery good, other aspects perfect.",Productreview.com.au
galaxy,5,"This phone is So nice to look at. Its thin and curved. Fits in the hand well.I love that the phone is waterproof, I have washed it under the tap and have had not issues.The phone has excellent features for security and connections, you can login with face recognition or iris or both. You can also use finger prints.I love this phone.",Productreview.com.au
galaxy,4,"This phone has a beautiful quality display. The flash with night photo mode is great. The battery seems to drain fairly quickly when being used, while I'm not using it it keeps the charge well. I always have it playing music to bluetooth headphones at night and approx 70% gets me through the night without having to leave it plugged into a charger.Apps and games run smoothly.The worst part of this phone is the curved screen and not being able to get a screen protector to STAY ON. I've had them put on by mobile phone 'kiosks' etc, tried different types, gel and glass and they all lift eventually and always have at least 1 bubble. I will not own another curved screen phone after this one.",Productreview.com.au
galaxy,3,I hate BIXBY  and do not want to use it ...but it insists upon itself ...what a waste of a butyon grrrrrrr SO ANNOYING also taking screenshots id a pain in the butt ...hard to make work and invokes BIXBY WHICH I HATE.Lost so much functionality with camera to last model ...downgrade not upgrade ...no portrait functionality any more,Productreview.com.au
galaxy,1,"At first glance the s9 is beautiful. Then you turn the thing on and you get to know it more and it starts to do some silly things. I have never had an issue with Apple. It always run everything smooth and you get pretty much everything you backed up. My s9 keyboard started to type things on its own while I was typing so I took it in to the shop and they done a software reboot. I lost 4 months worth of photos of my family and other important files that I will never get back. Changing to Samsung is the worse thing I have ever done. I just recontracted so I can't do much to change my phone. But I will definitely go back to iPhone as soon as my 1 year is up. Samsung phones tries to do to much and everything crap itself. While iPhone is so user friendly, I don't know why people would ever go for Samsung. This idiot did it. Don't make the same mistake.",Productreview.com.au
galaxy,3,"Camera quality is good although i find it hard to be advertised as one of the major selling points of this phone, I would personally not buy this phone based on the Camera quality. Display is good and brightness settings (cant complain). My biggest complaint with this phone being one of the latest is that there is no IR meaning apps like tv remote do not work where as more affordable phones manage to have this feature. Also the phone boasts on being waterproof yet my speakers muffle at the slightest touch of water ...go figure.. this phone is far from living up to expectations.",Productreview.com.au
galaxy,5,"Suddenly phone-less, I was shown the Galaxy S9 in Telstra shop and initially skeptical that it was similar in performance and features to a long-serving LG phone. I made a list of features, and they all got ticked off before yet more eye-catching features were added to the list...Things got better and better once I had a play with the real deal rather than a locked-up dummy! Extremely speedy, crisp operation, a true delight to hold and operate. As with so many other phones, a little slippery and slender so it requires (demands!) a secure grip, ably assisted by something like an Otterbox. Bought it immediately, no questions asked and haven't questioned the purchase at any time.  Built-in auto-on/off blue light filter for night use saves scouring the Google store for something presumably better. Self-adjusting display visibility makes it a dream to use in bright daylight as well as those pesky late night calls. When on fast-charge, it has a sleepy, dreamy, gradually alternating ""daydream"" colour pattern. Notifications are quite novel: a small tri-coloured LED on the front is assisted by a vibration and peculiar change of the display to a pale yellow -- takes some getting used to initially, but very effective at attracting attention (for better, for worse...). All apps run smoothly with no hang-ups at all.",Productreview.com.au
galaxy,5,"I recently upgraded my Samsung galaxy 5 to the Samsung galaxy 9 and there is definitely a noticeable difference in the operating system. The galaxy 9 has much more features, is much more user friendly. Has far superior security measures. Not to mention all the additional features it has to offer.",Productreview.com.au
galaxy,5,I am happy with everything about the phone. Great latest technology with samsung. I have had lots of samsung ones and this is the best! The camera is super clear and captures great moments. I use lots of different apps on this phone. I love how you can see the time lit up even when you're not using the phone.,Productreview.com.au
galaxy,5,I've had Samsung's ever since they first came out. From the s1 to s9. I wouldn't buy anything else. Only thing that puts me off is the expensive screen repairs if the screen cracks. Also the phone charge seems to die quickly even if you leave your phone all night on charge.,Productreview.com.au
galaxy,5,"Camera is amazing it's a huge step up from my non exploding Note Edge. Good size, stable software, no complaints. Battery is average but will last 2 days if not used heavily. Wireless charging works well but note that it takes twice as long as plugging it in. yes it has a headphone jack, which is great.",Productreview.com.au
galaxy,5,"The Samsung Galaxy S9 is my fifth Galaxy after my S2, S4, S6 and S7.  It is simply the best solution for me.  As a camera it excels.  The S7 was nearly there but the front camera wasn’t quite what I wanted.  The S9 now does it all.  Perfect in low light, fabulous portraiture, sharper output than any camera lens I own and versatile for 95% of photography.  I use it for all product shots on eBay and it has made my life a lot easier.  As a portable computer it organizes my 7,000 database records with ease in the Contacts folder.  Battery life is excellent and wireless charging is spot on.  The audio input jack is a continuing bonus and this makes for a versatile audio recorder in all situations.  USB C connection is great.  Speakers are terrific, the screen is great for video playback.  The S9 is a powerhouse with intuitive, useful software that is quick to use in any situation.  Build quality and waterproofing are first rate.  The size is perfect for me which is why I chose it over the S9+.  It can nearly replace any other camera I use professionally but it can’t handle ultra wide interior photography.  It is missing the 3:2 format which is what I prefer, so I hang onto other cameras for this purpose.  But given that it is always on me, means there is the matter of convenience and confidence knowing that I can make do at a pinch.  Multi tasking means making a phone call, sending a text and dealing with email all at the same time.  Android software means it is an open system that is constantly being developed so I don’t feel I am being held hostage to proprietary software.  From a productivity point of view, it is a compliment to a powerful laptop and camera systems that lets me develop my imagination, express my creativity and do everything I want that was still impossible, as recently as two years ago.  There are cheaper alternatives starting to come out of China that are similar but for the time being I am sticking with Samsung Galaxy, as they have never let me down.  This factor alone never makes me wonder about the top price proposition that is being paid.  What is the point of saving money if what you buy can’t do what you want?  With an S9 I don’t have to wonder.  If I didn’t have it I would use my S7 because that was nearly as good.",Productreview.com.au
galaxy,4,"The camera is powerful at any time! Camera feature is the most prominent in this phone.I love the design and the display is just amazing.I got all apps can run smoothly so far.The price is quite expensive, so I think bundling price is much preferred for buying this phone.",Productreview.com.au
galaxy,4,I purchased my phone through our local Telstra shop. One of the features I was looking for in my new phone was a good quality camera. I have been more than impressed with the camera even more than I expected. The bigger screen shows quality images that I am more than happy with. In fact on a recent week long island holiday I used camera phone exclusively rather than my stand alone camera. I am more than happy with the brightness of the display. I also do use my phone to check E mails as well as a camera.,Productreview.com.au
galaxy,4,"In love with my new phone! I think its excellent that it comes with a back protective case to save the beautiful colour from being damaged by every day use. Love the ""edge"" it's a very snazzy look. The only negative so far is it only plays the first 30 seconds of each of the songs in my playlist,  however I suspect this can be easily resolved in settings somewhere, I just haven't worked it out yet. Thanks Samsung, you've delivered yet again!",Productreview.com.au
galaxy,2,"Omg I hate hate hate Bixbie, granted I don't know what it is or how it works except and a marketing device that gets in the way everytime I use the phone. I do not want advertising on my phone!!!!! I have managed to turn everything Bixbie off but it is so horrible I can't like my phone, it has tainted any enjoyment I could of had from having a new phone. I was an iPhone user and the similar but different operating system is annoying to get used to, the change in connecting cables from previous Samsungs is annoying too, Siri was not something I used but at least I could choose his voice for when I did use him and he didn't try to sell me anything. I get Bixbie is Samsung's Siri but it is a horrible version.",Productreview.com.au
galaxy,2,"OK,  so it's a good phone.  But the battery sucks so bad I LITERALLY returned the brand new S9! I'm so surprised to. With all the updates and software on the device that to expect the battery to just run out so quickly and easily. It's a nightmare! I need a phone,  all day everyday and I'm used to using a phone all day everyday without recharging, not with the S9!",Productreview.com.au
galaxy,5,"Fantastic phone charges super fast ,battery last ages , take beautiful photos with lots of option ,slow motion is awsome.  Screen is vibrant and really clear if you like taking photos or videos this is the phone for you. The phone features are great and it has some really good widgets.",Productreview.com.au
galaxy,5,Photo quality is absolutely amazingEasy to useBattery life is greatLoved my 7 but this just has that extra you wanted not neededStruggling with do I keep and jump up the new note?Either way loving my new phone the only negative I have was can you make sure a few phone covers are brought out when you release straight away as I wanted to protect phone straight away lol,Productreview.com.au
