rating,review,phone,source
4 out of 5 stars.,"I upgraded to the s9 from the s8 and am enjoying playing with the phone. The camera especially is very good.
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"Upgraded form the s7 to s9 and I'm so pleased i did. The camera is amazing. Love so many of the features too. The video screen lock is just great.
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
3 out of 5 stars.,"On trial so far and disappointed with the battery life leaving it without use only lasts 36hrs if i use it 24 max, not happy my s7 lasted 48hrs full use and my j6 about the same, so would expect s9 to give same performance.
✘ No, I do not recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"I upgraded to the Galaxy s9 a couple of weeks ago and I am very pleased with it. I like the camera.
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"Only had the phone a few weeks and am very happy with it, I am a Samsung fan and have always had Samsung phones and tablets. Meets my needs perfectly.
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"I bought this about a week ago. Best phone ever. I love Samsung phones.
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"This replaced my trusty S7 and it lives up to the reputation set. I am really pleased.
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
3 out of 5 stars.,"Bought a couple of weeks ago and to be honest it's not what I expected...it's no better than the s7 edge I had previously
✘ No, I do not recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"I have had this phone for approximately four weeks and feel it is a great and still finding useful features to use.
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
3 out of 5 stars.,"The battery o it lasts for a few hours even when not in use. It loses 40% overnight
✘ No, I do not recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"I bought my phone 2 weeks ago set up went well first time I have done this. It does so much I am learning new things each day so cool.
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"Bought this a week ago and very happy with the results.
NO lag and enhanced signal tuning. Really good camera and a power house of a phone.
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"It is everything advertised and more, don't need my laptop anymore!
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"Got this phone a month ago and I've got no complaints
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"This is the best Samsung phone I've had! Takes some getting used to as there are a lot of features and I feel that after two weeks I still have a lot to learn
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"Love my new Samsung S9 - very easy to use, fantastic navigation of features, amazing camera!! Fast!! Perfect size. Looks lovely.
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"Bought 2 weeks ago still exploring but certainly enjoying
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"I like the shape and ease of use. The phone seems to download the features faster than my other handset. Well done for producing a good product
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"I bought this 2 weeks ago and it's the best phone I have had. Never had a Samsung before.
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"Great phone easy to use nice size screen comes in different colours mines purple
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"Recently had the s9, does the job and love the new unlock features. Slimer and sleek-er
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
2 out of 5 stars.,"Hardware is great, but the software's awful.
I can't dial half the numbers in my contact list due to international formats not being recognised, I don't want to reformat hundreds of numbers that work fine on other systems.
The terrible Bixby assistant is far too obtrusive and invasive to be helpful.
Can't turn flight mode on or off without logging in.
Face & Iris recognition slow.
Great hardware let down by challenging software.
✘ No, I do not recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"Have had this pone a few days just brill best phone I have had
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"Upgraded to an s9 having previously used ape handsets. Beats Apple hands down. Graphics are great apps as well.
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
5 out of 5 stars.,"I changed over from an iPhone 6s and was a bit unsure of moving to Samsung but after a couple of weeks I've finally got the hang of it and glad I made the change, fancying something different!
✔ Yes, I recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
1 out of 5 stars.,"Not loving the phone at all! No tracking app found to link mine and husbands phone for when he is out running (he's an insulin dependent diabetic)
✘ No, I do not recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
1 out of 5 stars.,"Really liked the phone but sadly returned it. I couldn’t send mms plcture messages. Numerous amount of APN settings changes and trying different things offered by Giffgaff. Loved the design and the operating. But I’m now back too boring IOS. In all very dissatisfied that these phones can be sold like this. Regards Ray
✘ No, I do not recommend this product.
Originally posted on samsung.com",galaxy,Very.co.uk
