rating,review,phone,source
5 out of 5 stars.,"Stick with Apple as it’s so easy to navigate. iPhone X although behind Samsung still delivers
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"I bought this phone a few weeks back and I'm really pleased with it. Face ID is a new feature that works well and there are some new gestures that are easy to master. The battery lasts all day even after heavy use.
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Upgraded from my iPhone 6S. Features are considerably better as you would expect. Display is gorgeous and sound quality excellent due to the 2 built in stereo speakers. Only took me an hour to get used to not having the home button. I actually prefer the Face ID over the finger print scanner is it works quicker. There are a few additional features which I didn’t have on the iPhone 6S, such as Apple spreadsheets, word and PowerPoint specifically designed for phones which some people might find useful. Great price and interest free over a year. The only downside is you have to pay extra for a fast 12W charger as only the basic 5W charger is supplied.
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
4 out of 5 stars.,"Updated my handset, great new features and super easy to set up and get going right out of the box
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"i Bought this few days ago to surprise my fiance witch she was really excited to receive as gift
How often do you use this? Once a month
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"I bought this as a gift for myself . You can’t go wrong with apple phones or products and with the sale price it was a know brainer easy to use great camera. Nothing to dislike go on you know you want too.
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Bought as present they are still over the moon great item great camera all in all would recommend
✔ Yes, I recommend this product.",iphone,Very.co.uk
2 out of 5 stars.,"I love my iphonex and bought the same for my husband.
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Bought for my daughter for Xmas and she was over the moon when she unwrapped it. I’m an android user but still regard this phone as a thing of beauty. Bought at the sale price so I couldn’t ask for more. If you’re ready to upgrade your iPhone, don’t think twice about purchasing the X.
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Great phone! Now even better value with reduced prices. Didn’t agree with Apple pricing their phones for £999 so waited it out. Glad now that I did. Otherwise great service & timely delivery from very.co.uk . Had a few questions on the phones warranty which Very confirmed to be 1 year from date of purchase so that’s great too. Go get one!
How often do you use this? Most days",iphone,Very.co.uk
4 out of 5 stars.,"Good phone with nice features. Very deal was very good, made it cheaper than getting on a contract with the ability to split the cost over 12 months.
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Got this from yesterday delivery fast. Great product does so much better. I did try to cancel order but now that I have it because it was already dispatched. I was not really bothered but the iPhone X is way good
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"I recently bought this phone as I desperately needed an update and I’m glad I did! It is much quicker to respond than my old phone and I was quite surprised that the Face ID works even in the dark!
It feels much smoother to reacting when an app is selected and the display is very clear. Great purchase!
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Wanted one for ages, so I did for my birthday. Loving it !
How often do you use this? Occasionally
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"I bought iPhone X last 10 days ago. Apple is Apple is in smartphones. No need to tell more about that I am really very happy with my iPhone. Further, Very made fantastic shopping experience for my first buy with them. Really, good market price with discounts, excellent customer care assistance and delivery.
How often do you use this? Once a month
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"I brought this 1 month ago and so glad o did brilliant and great deal too !
How often do you use this? Occasionally
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Updated from an iPhone 7, great new features, Face ID works a treat and fantastic quality display, great camera too. Great price with Very.
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"This is just a really solid and reliable phone. Looks amazing and does everything really well. Very happy with my purchase. Would recommend it to others since I got mine for a really good price.
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Upgraded from a 6s it’s so much better. Camera is great, battery is brill. No complains at all.
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Bought as an upgrade to iPhone 6. Very impressed with this version, OLED screen is sublime and love the Face ID, much prefer to the home button. Haven’t tried camera yet but guess it will be pretty good. Great phone for a decent price now it’s dropped £220. Like the fact screen is bigger than my last iPhone but handset overall isn’t much bigger.
How often do you use this? Couple of times a week
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Love all features would never go past an IPhone for music photos memory
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Bought last week very happy good staff !!!!!!!!!!!
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"On Black Friday my Daughter changed her mind about an Apple Watch as her main gift and as her phone was broken asked for the Apple IPhone X. After I nearly fell off the chair at the price difference between watch and phone I ordered it from Very because of the price drop. We have already exchanged gifts as I won't see my Daughter again this year. She has fed back how amazing the phone is and is very grateful for her gift.
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"I was going to buy an XR, but father X came up as a good deal with Very. So, what with it being slightly smaller, nicer screen and better camera, I couldn’t resist, really glad I didn’t too!
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Everything I expected from apple and a great price Quick delivery too, very happy
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Amazing phone upgraded from iphone6, was unsure on no button but I don’t miss it, phone is a lot better than the 6
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Upgraded from the 8. Face recognition excellent. Really good price
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Bought this last week to upgrade from my iPhone 8 and it’s absolutely brilliant!
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"I bought this and prefer to buy the phone out right rather then get a contract. Great phone and great price. Good service from Very also
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"I’ve just had the phone over a week now, fantastic wide screen. I like the face unlocking feature and it even works in darkness. Still learning new things.
How often do you use this? A few times a year
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"This phone is a great upgrade from my iPhone 7 the battery lasts really well and the camera is really good
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Best apple I phone. Absolutely love this purchase!
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"I’ve just upgraded from a iPhone 5s and the speed of this phone is immense. The only thing I’m struggling with at the minute is the sheer size of the screen and holding it in one hand. I’m sure I will get used to this in time. Otherwise this phone is absolutely fantastic.
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"I bought this with £200 off and £120 cash back on my account. Screen is unbeatable and phone overall is fab !!
Happy days!
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"So glad I got this phone. Very good phone. Easy to use
How often do you use this? Occasionally
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Purchased to replace an iPhone 6S and a far superior phone. Yes, the phone is newer and a lot more expensive but so much quicker. The battery is a major improvement and that's with having the battery in the iPhone 6S only replaced 8 months ago. Quicker processor and larger screen but still the battery in the X lasts a lot more longer.
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"I came across the above phone on hotukdeals. Having an old 6s plus I knew the time was right to upgrade and I don’t regret it. The phone is a amazing and much better than it’s predecessors
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
4 out of 5 stars.,"I got this phone a week ago and so far and very pleased with it, it does have some new features but to be honest I’m not seeing massive differences from the iphone6 I upgraded from. Is working a lot quicker but then again it is brand new.
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Love apple products, the is a Xmas present for my daughter can’t wait see her face Xmas morning
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Screen is not big enough but good phone I liked it
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"I brought this for my son it’s amazing and he loves it
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Really please with a good deal on just what I was looking for the iPhone X Met all expectations and more
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
4 out of 5 stars.,"The iphone X is still better than the new Iphone XR in terms of features especially as it has the dual cameras compared to the single camera. Although the XR chip is the latest model I feel chips don't really improve the phone unless theres a gap of 2 between the latest chip. The dual sims is a good incentive but it's not really relevant unless you have a work sim.
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"I bought the iPhone X last weekend and it was delivered by Wednesday. I’ve always loved apple products and this phone is brilliant with all of its great features. The camera is also amazingly out of this world. I could not reccomend this iPhone enough. Fantastic. Amazing. Brilliant. Definitely worth the buy :)
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Brought this as a gift which was well received! Might not be the XS iphone but this is comparable in specs at a much reduced price. Would recommend all to consider this over the XS due to price.
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"I bought this week ago and amzaing phone very bright and easy to use.
How often do you use this? Once a week
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"I bought iPhone X around week ago and I really love it, very good quality of phone, beautiful pictures and many more also I have to add it was good price whit prom code, I’m very happy
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Just wanted to upgrade and a good price and it looks good
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Very happy with product and extremely quick light weight and everything you need for daily use
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Just upgraded from a 6s amd this IMO is leaps and bounds ahead of it. Siri seems to work better face recognition flawless and so much easier than the finger print recog. Probably wouldn’t have upgraded however if the price hadn’t dropped I’m a recent promotion. Otherwise delighted with purchase
How often do you use this? Most days",iphone,Very.co.uk
5 out of 5 stars.,"Excellent features. Graphics are awesome with an excellent camera quality
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"I brought this some time ago and it has every thing you want in a mobile phone the best thing is the quality of the photo Crystal clear I would recommend this phone to every one
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Bought this from very at a discounted price but boy I wish I waited a week as cash back was applied and I could of saved even more. This phone is excellent I recommend if you’re thinking of getting it, get it now as this will be the beat deal for a brand new iphone x
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Perfect for recording videos/taking pics ps follow my Instagram @indaair_shortz
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"I brought this as a gift for my boyfriend and he absolutely loves it. He's really impressed with the general features and thinks it's an amazing all rounder and the price was pretty great for me too!
How often do you use this? Occasionally
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Received my phone next day super quick absolutely would recommend
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
1 out of 5 stars.,"Bought 2nd of Oct, went faulty within 10 days, the credit went in my acc today. (02/11/18)
How often do you use this? Most days
✔ Yes, I recommend this product.
Originally posted on littlewoods.com",iphone,Very.co.uk
5 out of 5 stars.,"I’ve had this phone a few days now and I love it. It’s a huge jump from the SE I had previously - I’m really pleased. I haven’t used my iPad since having the phone as I haven’t needed to. The screen on the iPhone is perfect. Very pleased!
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"I bought this phone a week ago and I’m very happy with its features. Also, the delivery service with very was fantastic.
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
4 out of 5 stars.,"I’ve only had the phone for a few weeks, but it does seem like a big improvement on my old 6.
I’ve had my first issue with trying to charge and wanting to use headphones at the same time, though.
I have a separate Bluetooth set of headphones for running, but i’m not sure i’d use them day to day.
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Amazing and the cheapest on the net, well done very.com. My friend has already purchased this sx
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Really good, easy to use, didn’t come as quick with delivery but love the product
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Purchased this phone last week after reading reviews. Phone is brilliant very quick and clear. After some research Very was cheapest buying out right which will save me at least couple of hundred pound in the long run. Fast delivery. Do it you will not be disappointed!
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Bought a couple of weeks ago. Fantastic phone so far. Bought this instead of the iPhone XS as the specs are nearly identical. Really can’t tell the difference between the A11 chip and the A12 chip.
Battery life is good. I use my phone a lot and I still have around 45% by the end of the day.
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"I bought this phone about a week ago and i absolutely love it. Also bought it at a very competitive price, which helps a lot
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Great phone, great price, can't get better than paying off over 1 year interest free....
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"After being on Android for a little while now and coming back to iPhone I can honestly say even though the price isn’t justified there’s a lot of things I honestly love about iPhones, how simple it is to navigate and how easy texting is, I always love the small things on the phone like when your listening to music it doesn’t cap the volume and ruin it. love this phone
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"I bought the phone for my wife who has never had an iPhone before but fortunately knows how to use the iPad, this helps because the iOS is very similar.
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
4 out of 5 stars.,"Bought this as an upgrade to My pixel 2. The phone on the whole is all you could ever want. The screen is incredible and without fault. However, the camera does fall a bit short of the Pixel 2 but is still Very good. All in all, the iPhone X is a great all rounder.
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
4 out of 5 stars.,"Good phone, at a good price now the iphobe XS is out. Little difference between the phones. I did not receive notification that it had been dispatched however it did arrive when expected. A little cheeky to charge deliver on such a high price item but otherwise content with Very.
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Had every iPhone since the iPhone 4 and this is by far the best, great phone
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"I’ve always had iPhones but this one has been the best so far! Great features, good size phone and the picture/screen quality is brilliant. The price was good too, the cheapest price I found.
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Had my phone for a week now and absolutely love it. Was looking to upgrade for a while and when they came down in price I had to get it. Taking a while to get used to not having a home button but the camera is fantastic.
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Bought last week, great phone. Fantastic service from Very, very happy customer.
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Definitely recommend this phone really pleased quick delivery
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"Great phone. Very good quality and promptly delivered by Very. Keep it up
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"I’ve had the iPhone X for 6 months now. After being a Samsung customer for the past 8 years I was a bit worried about switching but I needn’t have. The phone is great, well built. The faceID works perfectly as does the camera which was some really clever features. Don’t hesitate to hit this!
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"I would say this is probably the best iphone Apple has launched till now.
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
5 out of 5 stars.,"I bought this phone last week, set it up this morning and love it, so easy to us.
How often do you use this? Most days
✔ Yes, I recommend this product.",iphone,Very.co.uk
